name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Four Adventures of Reinette and Mirabelle,Not Rated,Comedy,1987,"July 19, 1989 (United States)",7.6,2200.0,Éric Rohmer,Éric Rohmer,Joëlle Miquel,France,,22039.0,Compagnie Eric Rohmer (CER),99.0
Little Dorrit,G,Drama,1987,"October 21, 1988 (United States)",7.3,1000.0,Christine Edzard,Charles Dickens,Derek Jacobi,United Kingdom,,1025228.0,Sands,357.0
The Year My Voice Broke,PG-13,Drama,1987,"October 17, 1987 (United States)",7.4,2000.0,John Duigan,John Duigan,Noah Taylor,Australia,,213901.0,Kennedy Miller Productions,103.0
The Belly of an Architect,R,Drama,1987,"October 16, 1987 (United Kingdom)",7.0,5500.0,Peter Greenaway,Peter Greenaway,Brian Dennehy,United Kingdom,,,Callender Company,119.0
Intervista,,Comedy,1987,"November 6, 1992 (United States)",7.0,2500.0,Federico Fellini,Federico Fellini,Sergio Rubini,Italy,,138608.0,Aljosha,105.0
Oci ciornie,,Comedy,1987,"November 6, 1987 (United States)",7.4,3000.0,Nikita Mikhalkov,Aleksandr Adabashyan,Marcello Mastroianni,Italy,,2201428.0,Excelsior Film-TV,118.0
The Glass Menagerie,PG,Drama,1987,"May 27, 1987 (France)",7.1,1900.0,Paul Newman,Tennessee Williams,Joanne Woodward,United States,,895904.0,Cineplex Odeon Films,134.0
Die Hard,R,Action,1988,"July 20, 1988 (United States)",8.2,810000.0,John McTiernan,Roderick Thorp,Bruce Willis,United States,28000000.0,141603197.0,Twentieth Century Fox,132.0
Midnight Run,R,Action,1988,"July 20, 1988 (United States)",7.5,79000.0,Martin Brest,George Gallo,Robert De Niro,United States,30000000.0,81613606.0,Universal Pictures,126.0
Beetlejuice,PG,Comedy,1988,"March 30, 1988 (United States)",7.5,270000.0,Tim Burton,Michael McDowell,Alec Baldwin,United States,15000000.0,74270074.0,The Geffen Company,92.0
Big,PG,Comedy,1988,"June 3, 1988 (United States)",7.3,205000.0,Penny Marshall,Gary Ross,Tom Hanks,United States,18000000.0,151927281.0,American Entertainment Partners II L.P.,104.0
Rain Man,R,Drama,1988,"December 16, 1988 (United States)",8.0,483000.0,Barry Levinson,Barry Morrow,Dustin Hoffman,United States,25000000.0,354825435.0,United Artists,133.0
Running on Empty,PG-13,Crime,1988,"September 9, 1988 (United States)",7.7,15000.0,Sidney Lumet,Naomi Foner,River Phoenix,United States,7000000.0,2847941.0,Double Play,116.0
They Live,R,Action,1988,"November 4, 1988 (United States)",7.3,117000.0,John Carpenter,Ray Nelson,Roddy Piper,United States,4000000.0,13008928.0,Alive Films,94.0
Willow,PG,Action,1988,"May 20, 1988 (United States)",7.3,103000.0,Ron Howard,George Lucas,Val Kilmer,United Kingdom,35000000.0,57269863.0,Metro-Goldwyn-Mayer (MGM),126.0
Heathers,R,Comedy,1988,"March 31, 1989 (United States)",7.2,92000.0,Michael Lehmann,Daniel Waters,Winona Ryder,United States,3000000.0,1163969.0,New World Pictures,103.0
Coming to America,R,Comedy,1988,"June 29, 1988 (United States)",7.1,196000.0,John Landis,Eddie Murphy,Eddie Murphy,United States,39000000.0,288752301.0,Paramount Pictures,117.0
Who Framed Roger Rabbit,PG,Animation,1988,"June 22, 1988 (United States)",7.7,187000.0,Robert Zemeckis,Gary K. Wolf,Bob Hoskins,United States,70000000.0,329803958.0,Touchstone Pictures,104.0
Akira,R,Animation,1988,"July 16, 1988 (Japan)",8.0,171000.0,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Mitsuo Iwata,Japan,,2562351.0,Akira Committee Company Ltd.,124.0
Cinema Paradiso,PG,Drama,1988,"February 23, 1990 (United States)",8.5,239000.0,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret,Italy,5000000.0,13019063.0,Cristaldifilm,155.0
Mississippi Burning,R,Crime,1988,"January 27, 1989 (United States)",7.8,91000.0,Alan Parker,Chris Gerolmo,Gene Hackman,United States,15000000.0,34603943.0,Orion Pictures,128.0
The Naked Gun: from the Files of Police Squad!,PG-13,Comedy,1988,"December 2, 1988 (United States)",7.6,158000.0,David Zucker,Jerry Zucker,Leslie Nielsen,United States,12000000.0,78756177.0,Paramount Pictures,85.0
My Neighbor Totoro,G,Animation,1988,"July 13, 1990 (United States)",8.2,304000.0,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Japan,3700000.0,30550920.0,Tokuma Japan Communications,86.0
A Fish Called Wanda,R,Comedy,1988,"July 29, 1988 (United States)",7.5,135000.0,Charles Crichton,John Cleese,John Cleese,United Kingdom,7500000.0,62493712.0,Metro-Goldwyn-Mayer (MGM),108.0
The Last Temptation of Christ,R,Drama,1988,"August 12, 1988 (Canada)",7.5,54000.0,Martin Scorsese,Nikos Kazantzakis,Willem Dafoe,Canada,7000000.0,8865702.0,Universal Pictures,164.0
The Land Before Time,G,Animation,1988,"November 18, 1988 (United States)",7.4,82000.0,Don Bluth,Stu Krieger,Pat Hingle,United States,12500000.0,84460846.0,Lucasfilm,69.0
The Accused,R,Crime,1988,"October 14, 1988 (United States)",7.2,33000.0,Jonathan Kaplan,Tom Topor,Kelly McGillis,Canada,13000000.0,32078318.0,Paramount Pictures,111.0
Dangerous Liaisons,R,Drama,1988,"February 24, 1989 (United States)",7.6,66000.0,Stephen Frears,Christopher Hampton,Glenn Close,United States,14000000.0,34670720.0,Lorimar Film Entertainment,119.0
Hairspray,PG,Comedy,1988,"February 26, 1988 (United States)",7.0,20000.0,John Waters,John Waters,Sonny Bono,United States,2000000.0,6673032.0,New Line Cinema,92.0
Dead Ringers,R,Drama,1988,"September 23, 1988 (United States)",7.3,43000.0,David Cronenberg,David Cronenberg,Jeremy Irons,Canada,13000000.0,8038508.0,Morgan Creek Entertainment,116.0
Bull Durham,R,Comedy,1988,"June 15, 1988 (United States)",7.1,49000.0,Ron Shelton,Ron Shelton,Kevin Costner,United States,7000000.0,50888729.0,The Mount Company,108.0
The Big Blue,PG,Adventure,1988,"August 19, 1988 (United States)",7.6,49000.0,Luc Besson,Luc Besson,Jean-Marc Barr,France,,3975244.0,Gaumont,168.0
The Unbearable Lightness of Being,R,Drama,1988,"February 5, 1988 (United States)",7.3,35000.0,Philip Kaufman,Milan Kundera,Daniel Day-Lewis,Sweden,17000000.0,10006806.0,The Saul Zaentz Company,171.0
The Adventures of Baron Munchausen,PG,Adventure,1988,"March 10, 1989 (United States)",7.2,52000.0,Terry Gilliam,Charles McKeown,John Neville,United Kingdom,46630000.0,8083123.0,Prominent Features,126.0
Scrooged,PG-13,Comedy,1988,"November 23, 1988 (United States)",7.0,90000.0,Richard Donner,Mitch Glazer,Bill Murray,United States,32000000.0,60329001.0,Paramount Pictures,101.0
Dirty Rotten Scoundrels,PG,Comedy,1988,"December 14, 1988 (United States)",7.4,67000.0,Frank Oz,Dale Launer,Steve Martin,United States,,42039085.0,Orion Pictures,110.0
Eight Men Out,PG,Drama,1988,"June 29, 1989 (Australia)",7.2,19000.0,John Sayles,Eliot Asinof,John Cusack,United States,6000000.0,5680515.0,Orion Pictures,119.0
Stand and Deliver,PG,Biography,1988,"March 11, 1988 (United States)",7.3,17000.0,Ramón Menéndez,Ramón Menéndez,Edward James Olmos,United States,,13994920.0,American Playhouse,103.0
Women on the Verge of a Nervous Breakdown,R,Comedy,1988,"November 11, 1988 (United States)",7.6,37000.0,Pedro Almodóvar,Pedro Almodóvar,Carmen Maura,Spain,700000.0,7263129.0,Laurenfilm,88.0
As Tears Go By,Not Rated,Crime,1988,"May 2, 2008 (United States)",7.0,9000.0,Kar-Wai Wong,Jeffrey Lau,Andy Lau,Hong Kong,,13133.0,In-Gear Film Production,102.0
Time of the Gypsies,R,Comedy,1988,"February 9, 1990 (United States)",8.2,29000.0,Emir Kusturica,Emir Kusturica,Davor Dujmovic,Yugoslavia,,,Forum Sarajevo,142.0
The Beast of War,R,Adventure,1988,"September 7, 1988 (France)",7.3,9100.0,Kevin Reynolds,William Mastrosimone,George Dzundza,United States,8000000.0,161004.0,A&M Films,111.0
Gorillas in the Mist,PG-13,Biography,1988,"October 7, 1988 (United States)",7.0,25000.0,Michael Apted,Harold T.P. Hayes,Sigourney Weaver,United States,22000000.0,61149479.0,Universal Pictures,129.0
Miracle Mile,R,Action,1988,"May 19, 1989 (United States)",7.0,9800.0,Steve De Jarnatt,Steve De Jarnatt,Anthony Edwards,United States,3700000.0,1145404.0,Hemdale,87.0
Talk Radio,R,Drama,1988,"January 13, 1989 (United States)",7.3,13000.0,Oliver Stone,Stephen Singular,Eric Bogosian,United States,4000000.0,3468572.0,Cineplex Odeon Films,110.0
The Bear,PG,Adventure,1988,"October 27, 1989 (United States)",7.7,17000.0,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,France,,31753898.0,Price,96.0
Bird,R,Biography,1988,"September 30, 1988 (United States)",7.2,12000.0,Clint Eastwood,Joel Oliansky,Forest Whitaker,United States,9000000.0,2181286.0,The Malpaso Company,161.0
Salaam Bombay!,Not Rated,Crime,1988,"October 7, 1988 (United States)",8.0,8800.0,Mira Nair,Mira Nair,Shafiq Syed,United States,,2080758.0,Mirabai Films,113.0
High Hopes,PG,Comedy,1988,"May 25, 1989 (Italy)",7.4,4800.0,Mike Leigh,Mike Leigh,Phil Davis,United Kingdom,,1192322.0,Portman Productions,108.0
Camille Claudel,R,Biography,1988,"December 21, 1989 (United States)",7.3,6400.0,Bruno Nuytten,Reine-Marie Paris,Isabelle Adjani,France,,3331297.0,Les Films Christian Fechner,175.0
Torch Song Trilogy,R,Comedy,1988,"December 14, 1988 (United States)",7.7,6800.0,Paul Bogart,Harvey Fierstein,Anne Bancroft,United States,,4870903.0,New Line Cinema,120.0
Drowning by Numbers,R,Comedy,1988,June 1991 (United States),7.2,8300.0,Peter Greenaway,Peter Greenaway,Bernard Hill,United Kingdom,,424773.0,Film Four International,118.0
Chocolat,PG-13,Drama,1988,May 1989 (United States),7.3,3100.0,Claire Denis,Claire Denis,Isaach De Bankolé,France,,2319801.0,Caroline Productions,105.0
Without a Clue,PG,Comedy,1988,"October 21, 1988 (United States)",7.0,9800.0,Thom Eberhardt,Gary Murphy,Michael Caine,United Kingdom,,8539181.0,Incorporated Television Company (ITC),107.0
Another Woman,PG,Drama,1988,"November 18, 1988 (United States)",7.3,13000.0,Woody Allen,Woody Allen,Gena Rowlands,United States,10000000.0,1562749.0,Jack Rollins & Charles H. Joffe Productions,81.0
Things Change,PG,Comedy,1988,"October 21, 1988 (United States)",7.0,3400.0,David Mamet,David Mamet,Don Ameche,United States,,3527886.0,Columbia Pictures,100.0
A Summer Story,PG-13,Drama,1988,"July 23, 1988 (South Korea)",7.3,998.0,Piers Haggard,John Galsworthy,Imogen Stubbs,United Kingdom,,,Incorporated Television Company (ITC),95.0
"Distant Voices, Still Lives",PG-13,Drama,1988,"November 16, 1988 (France)",7.4,3900.0,Terence Davies,Terence Davies,Pete Postlethwaite,United Kingdom,,771745.0,British Film Institute (BFI),84.0
Apartment Zero,R,Drama,1988,"September 15, 1989 (United Kingdom)",7.0,3700.0,Martin Donovan,Martin Donovan,Hart Bochner,United Kingdom,4000000.0,1267578.0,Producers Representative Organization,124.0
Indiana Jones and the Last Crusade,PG-13,Action,1989,"May 24, 1989 (United States)",8.2,707000.0,Steven Spielberg,Jeffrey Boam,Harrison Ford,United States,48000000.0,474171806.0,Paramount Pictures,127.0
Batman,PG-13,Action,1989,"June 23, 1989 (United States)",7.5,346000.0,Tim Burton,Bob Kane,Michael Keaton,United States,35000000.0,411508343.0,Warner Bros.,126.0
Bill & Ted's Excellent Adventure,PG,Adventure,1989,"February 17, 1989 (United States)",7.0,123000.0,Stephen Herek,Chris Matheson,Keanu Reeves,United States,10000000.0,40508994.0,De Laurentiis Entertainment Group (DEG),90.0
Field of Dreams,PG,Drama,1989,"May 5, 1989 (United States)",7.5,111000.0,Phil Alden Robinson,W.P. Kinsella,Kevin Costner,United States,,84431625.0,Gordon Company,107.0
Dead Poets Society,PG,Comedy,1989,"June 9, 1989 (United States)",8.1,442000.0,Peter Weir,Tom Schulman,Robin Williams,United States,16400000.0,235860116.0,Touchstone Pictures,128.0
The Little Mermaid,G,Animation,1989,"November 17, 1989 (United States)",7.6,244000.0,Ron Clements,John Musker,Jodi Benson,United States,40000000.0,211343479.0,Walt Disney Pictures,83.0
The Abyss,PG-13,Adventure,1989,"August 9, 1989 (United States)",7.5,167000.0,James Cameron,James Cameron,Ed Harris,United States,70000000.0,90000098.0,Twentieth Century Fox,140.0
Back to the Future Part II,PG,Adventure,1989,"November 22, 1989 (United States)",7.8,494000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,40000000.0,332500002.0,Universal Pictures,108.0
Do the Right Thing,R,Comedy,1989,"July 21, 1989 (United States)",8.0,94000.0,Spike Lee,Spike Lee,Danny Aiello,United States,6500000.0,37295445.0,40 Acres & A Mule Filmworks,120.0
"Sex, Lies, and Videotape",R,Drama,1989,"September 22, 1989 (United States)",7.2,52000.0,Steven Soderbergh,Steven Soderbergh,James Spader,United States,1200000.0,24741667.0,Outlaw Productions (I),100.0
When Harry Met Sally...,R,Comedy,1989,"July 21, 1989 (United States)",7.6,201000.0,Rob Reiner,Nora Ephron,Billy Crystal,United States,16000000.0,93232006.0,Castle Rock Entertainment,95.0
Major League,R,Comedy,1989,"April 7, 1989 (United States)",7.2,64000.0,David S. Ward,David S. Ward,Tom Berenger,United States,11000000.0,49797148.0,Mirage Enterprises,107.0
Steel Magnolias,PG,Comedy,1989,"November 22, 1989 (United States)",7.3,50000.0,Herbert Ross,Robert Harling,Shirley MacLaine,United States,15000000.0,96759512.0,TriStar Pictures,117.0
Uncle Buck,PG,Comedy,1989,"August 16, 1989 (United States)",7.0,88000.0,John Hughes,John Hughes,John Candy,United States,15000000.0,79258538.0,Universal Pictures,100.0
Born on the Fourth of July,R,Biography,1989,"January 5, 1990 (United States)",7.2,101000.0,Oliver Stone,Ron Kovic,Tom Cruise,United States,14000000.0,161001698.0,Ixtlan,145.0
Glory,R,Biography,1989,"February 16, 1990 (United States)",7.8,126000.0,Edward Zwick,Kevin Jarre,Matthew Broderick,United States,18000000.0,26979166.0,TriStar Pictures,122.0
Parenthood,PG-13,Comedy,1989,"August 2, 1989 (United States)",7.0,46000.0,Ron Howard,Lowell Ganz,Steve Martin,United States,20000000.0,126297830.0,Imagine Entertainment,124.0
Lethal Weapon 2,R,Action,1989,"July 7, 1989 (United States)",7.2,166000.0,Richard Donner,Jeffrey Boam,Mel Gibson,United States,28000000.0,227853986.0,Warner Bros.,114.0
National Lampoon's Christmas Vacation,PG-13,Comedy,1989,"December 1, 1989 (United States)",7.6,164000.0,Jeremiah S. Chechik,John Hughes,Chevy Chase,United States,27000000.0,73594646.0,Warner Bros.,97.0
Say Anything,PG-13,Comedy,1989,"April 14, 1989 (United States)",7.3,85000.0,Cameron Crowe,Cameron Crowe,John Cusack,United States,,21515196.0,Gracie Films,100.0
Shirley Valentine,R,Comedy,1989,"August 30, 1989 (United States)",7.2,7400.0,Lewis Gilbert,Willy Russell,Pauline Collins,United Kingdom,,6056912.0,Paramount Pictures,108.0
"The Cook, the Thief, His Wife & Her Lover",X,Crime,1989,"April 6, 1990 (United States)",7.6,36000.0,Peter Greenaway,Peter Greenaway,Richard Bohringer,Netherlands,,7724701.0,Allarts,124.0
Casualties of War,R,Action,1989,"August 18, 1989 (United States)",7.1,42000.0,Brian De Palma,Daniel Lang,Michael J. Fox,United States,22500000.0,18671317.0,Art Linson Productions,113.0
My Left Foot,R,Biography,1989,"March 30, 1990 (United States)",7.9,70000.0,Jim Sheridan,Shane Connaughton,Daniel Day-Lewis,Ireland,,14743391.0,Ferndale Films,103.0
UHF,PG-13,Comedy,1989,"July 21, 1989 (United States)",7.0,27000.0,Jay Levey,'Weird Al' Yankovic,'Weird Al' Yankovic,United States,5000000.0,6157157.0,Cinecorp SAC,97.0
Tie Me Up! Tie Me Down!,NC-17,Comedy,1989,"January 22, 1990 (Spain)",7.0,26000.0,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,Spain,,4088140.0,El Deseo,101.0
Driving Miss Daisy,PG,Drama,1989,"January 26, 1990 (United States)",7.4,102000.0,Bruce Beresford,Alfred Uhry,Morgan Freeman,United States,7500000.0,145793296.0,The Zanuck Company,99.0
Drugstore Cowboy,R,Crime,1989,"October 20, 1989 (United States)",7.3,34000.0,Gus Van Sant,James Fogle,Matt Dillon,United States,2500000.0,4729352.0,Avenue Pictures,101.0
Lean on Me,PG-13,Drama,1989,"March 3, 1989 (United States)",7.4,19000.0,John G. Avildsen,Michael Schiffer,Morgan Freeman,United States,10000000.0,31906454.0,Norman Twain Productions,108.0
Henry V,PG-13,Action,1989,"November 8, 1989 (United States)",7.5,29000.0,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,9000000.0,10161099.0,Renaissance Films,137.0
Valmont,R,Drama,1989,"November 17, 1989 (United States)",7.0,13000.0,Milos Forman,Choderlos de Laclos,Colin Firth,France,33000000.0,1132112.0,Renn Productions,137.0
Mystery Train,R,Comedy,1989,"November 17, 1989 (United States)",7.6,26000.0,Jim Jarmusch,Jim Jarmusch,Masatoshi Nagase,Japan,2800000.0,1544973.0,JVC Entertainment Networks,110.0
Crimes and Misdemeanors,PG-13,Comedy,1989,"November 3, 1989 (United States)",7.9,56000.0,Woody Allen,Woody Allen,Martin Landau,United States,19000000.0,18254702.0,Jack Rollins & Charles H. Joffe Productions,104.0
Little Nemo: Adventures in Slumberland,G,Animation,1989,"August 21, 1992 (United States)",7.1,7000.0,Masami Hata,Chris Columbus,Gabriel Damon,Japan,35000000.0,1368000.0,TMS Entertainment,85.0
Longtime Companion,R,Drama,1989,"May 1, 1990 (Portugal)",7.6,5400.0,Norman René,Craig Lucas,Stephen Caffrey,United States,3000000.0,4609953.0,American Playhouse,96.0
A Dry White Season,R,Drama,1989,"September 20, 1989 (United States)",7.0,5300.0,Euzhan Palcy,André P. Brink,Donald Sutherland,United States,9000000.0,3766879.0,Davros Films,106.0
The Unbelievable Truth,R,Comedy,1989,"November 8, 1990 (Australia)",7.3,5000.0,Hal Hartley,Hal Hartley,Adrienne Shelly,United States,75000.0,,Action Features,90.0
Music Box,PG-13,Crime,1989,"January 19, 1990 (United States)",7.4,7200.0,Costa-Gavras,Joe Eszterhas,Jessica Lange,United States,,6263883.0,Carolco Pictures,124.0
Violent Cop,Not Rated,Action,1989,"July 16, 1999 (United States)",7.2,11000.0,Takeshi Kitano,Hisashi Nozawa,Takeshi Kitano,Japan,,,Bandai Media Department,103.0
Jesus of Montreal,R,Drama,1989,"May 25, 1990 (United States)",7.5,6800.0,Denys Arcand,Denys Arcand,Lothaire Bluteau,Canada,,1601612.0,Max Films Productions,120.0
My Twentieth Century,,Comedy,1989,"January 13, 1990 (Japan)",7.1,1500.0,Ildikó Enyedi,Ildikó Enyedi,Dorota Segda,Hungary,,,Budapest Stúdió Vállalat,104.0
Monsieur Hire,PG-13,Crime,1989,June 1990 (United States),7.6,6100.0,Patrice Leconte,Georges Simenon,Michel Blanc,France,,1417030.0,Cinéa,81.0
Romero,PG-13,Biography,1989,"August 25, 1989 (United States)",7.2,2100.0,John Duigan,John Sacret Young,Raul Julia,United States,,1316495.0,Paulist Pictures,102.0
Goodfellas,R,Biography,1990,"September 21, 1990 (United States)",8.7,1100000.0,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,25000000.0,46963277.0,Warner Bros.,146.0
The Godfather: Part III,R,Crime,1990,"December 25, 1990 (United States)",7.6,370000.0,Francis Ford Coppola,Mario Puzo,Al Pacino,United States,54000000.0,136861392.0,Paramount Pictures,162.0
Total Recall,R,Action,1990,"June 1, 1990 (United States)",7.5,310000.0,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,United States,65000000.0,261317921.0,Carolco Pictures,113.0
Pretty Woman,R,Comedy,1990,"March 23, 1990 (United States)",7.0,299000.0,Garry Marshall,J.F. Lawton,Richard Gere,United States,14000000.0,463406268.0,Touchstone Pictures,119.0
Home Alone,PG,Comedy,1990,"November 16, 1990 (United States)",7.6,501000.0,Chris Columbus,John Hughes,Macaulay Culkin,United States,18000000.0,476684675.0,Hughes Entertainment,103.0
Ghost,PG-13,Drama,1990,"July 13, 1990 (United States)",7.1,203000.0,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze,United States,22000000.0,505703557.0,Paramount Pictures,127.0
Dances with Wolves,PG-13,Adventure,1990,"November 21, 1990 (United States)",8.0,247000.0,Kevin Costner,Michael Blake,Kevin Costner,United States,22000000.0,424208848.0,Tig Productions,181.0
Tremors,PG-13,Comedy,1990,"January 19, 1990 (United States)",7.1,126000.0,Ron Underwood,S.S. Wilson,Kevin Bacon,United States,11000000.0,16667084.0,Universal Pictures,96.0
Die Hard 2,R,Action,1990,"July 3, 1990 (United States)",7.1,344000.0,Renny Harlin,Steven E. de Souza,Bruce Willis,United States,70000000.0,240031274.0,Twentieth Century Fox,124.0
Misery,R,Drama,1990,"November 30, 1990 (United States)",7.8,191000.0,Rob Reiner,Stephen King,James Caan,United States,20000000.0,61276872.0,Castle Rock Entertainment,107.0
Edward Scissorhands,PG-13,Drama,1990,"December 14, 1990 (United States)",7.9,456000.0,Tim Burton,Tim Burton,Johnny Depp,United States,20000000.0,86024005.0,Twentieth Century Fox,105.0
The Hunt for Red October,PG,Action,1990,"March 2, 1990 (United States)",7.6,186000.0,John McTiernan,Tom Clancy,Sean Connery,United States,30000000.0,200512643.0,Paramount Pictures,135.0
Awakenings,PG-13,Biography,1990,"January 11, 1991 (United States)",7.8,130000.0,Penny Marshall,Oliver Sacks,Robert De Niro,United States,31000000.0,52096475.0,Columbia Pictures,121.0
Wild at Heart,R,Comedy,1990,"August 17, 1990 (United States)",7.2,86000.0,David Lynch,Barry Gifford,Nicolas Cage,United States,9500000.0,14561425.0,PolyGram Filmed Entertainment,125.0
Jacob's Ladder,R,Drama,1990,"November 2, 1990 (United States)",7.5,101000.0,Adrian Lyne,Bruce Joel Rubin,Tim Robbins,United States,25000000.0,26118851.0,Carolco Pictures,113.0
Back to the Future Part III,PG,Adventure,1990,"May 25, 1990 (United States)",7.4,416000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,40000000.0,245077583.0,Universal Pictures,118.0
King of New York,R,Crime,1990,"January 5, 1991 (United States)",7.0,34000.0,Abel Ferrara,Nicholas St. John,Christopher Walken,Italy,5300000.0,2554476.0,Reteitalia,103.0
Miller's Crossing,R,Crime,1990,"October 5, 1990 (United States)",7.7,128000.0,Joel Coen,Joel Coen,Gabriel Byrne,United States,14000000.0,5080409.0,Circle Films,115.0
Nikita,R,Action,1990,April 1991 (United States),7.3,69000.0,Luc Besson,Luc Besson,Anne Parillaud,France,,5017971.0,Gaumont,117.0
Slacker,R,Comedy,1990,"July 5, 1991 (United States)",7.1,20000.0,Richard Linklater,Richard Linklater,Richard Linklater,United States,23000.0,1228108.0,Detour Filmproduction,97.0
Days of Being Wild,Not Rated,Crime,1990,"December 15, 1990 (Hong Kong)",7.5,19000.0,Kar-Wai Wong,Jeffrey Lau,Leslie Cheung,Hong Kong,,3106052.0,In-Gear Film,94.0
Pump Up the Volume,R,Comedy,1990,"August 22, 1990 (United States)",7.2,27000.0,Allan Moyle,Allan Moyle,Christian Slater,Canada,,11541758.0,New Line Cinema,102.0
Reversal of Fortune,R,Biography,1990,"November 9, 1990 (United States)",7.2,15000.0,Barbet Schroeder,Alan Dershowitz,Jeremy Irons,United States,,15445131.0,Sovereign Pictures,111.0
State of Grace,R,Action,1990,"September 14, 1990 (United States)",7.2,21000.0,Phil Joanou,Dennis McIntyre,Sean Penn,United Kingdom,18000000.0,1911542.0,Cinehaus,134.0
Dreams,PG,Drama,1990,"August 24, 1990 (United States)",7.8,25000.0,Akira Kurosawa,Akira Kurosawa,Akira Terao,Japan,12000000.0,2970161.0,Warner Bros.,119.0
Close-Up,Not Rated,Biography,1990,"October 30, 1991 (France)",8.3,17000.0,Abbas Kiarostami,Abbas Kiarostami,Hossain Sabzian,Iran,,,Kanun parvaresh fekri,98.0
Rosencrantz & Guildenstern Are Dead,PG,Comedy,1990,"February 8, 1991 (United States)",7.4,21000.0,Tom Stoppard,Tom Stoppard,Gary Oldman,United Kingdom,,739104.0,Brandenberg,117.0
Metropolitan,PG-13,Comedy,1990,"August 3, 1990 (United States)",7.4,10000.0,Whit Stillman,Whit Stillman,Carolyn Farina,United States,230000.0,2960492.0,Westerly Films,98.0
Europa Europa,R,Drama,1990,"November 14, 1990 (France)",7.6,15000.0,Agnieszka Holland,Agnieszka Holland,Solomon Perel,Germany,,5575738.0,Bayerischer Rundfunk (BR),112.0
Cyrano de Bergerac,PG,Comedy,1990,"December 1, 1990 (United States)",7.5,23000.0,Jean-Paul Rappeneau,Edmond Rostand,Gérard Depardieu,France,,5822041.0,Caméra One,137.0
Truly Madly Deeply,PG,Comedy,1990,"May 24, 1991 (United States)",7.2,7600.0,Anthony Minghella,Anthony Minghella,Juliet Stevenson,United Kingdom,,1554742.0,British Broadcasting Corporation (BBC),106.0
Life Is Sweet,R,Comedy,1990,December 1991 (United States),7.5,9500.0,Mike Leigh,Mike Leigh,Alison Steadman,United Kingdom,,1516414.0,British Screen Productions,103.0
Avalon,PG,Drama,1990,"October 19, 1990 (United States)",7.2,5900.0,Barry Levinson,Barry Levinson,Aidan Quinn,United States,20000000.0,15779578.0,TriStar Pictures,128.0
The Field,PG-13,Drama,1990,March 1991 (United States),7.4,5800.0,Jim Sheridan,Jim Sheridan,Richard Harris,Ireland,,1494399.0,Granada Television,107.0
Ju Dou,PG-13,Drama,1990,April 1991 (United States),7.7,7800.0,Yimou Zhang,Heng Liu,Gong Li,China,,1986433.0,China Film Co-Production Corporation,95.0
The Hairdresser's Husband,R,Comedy,1990,"October 3, 1990 (France)",7.3,9200.0,Patrice Leconte,Claude Klotz,Jean Rochefort,France,,1217084.0,Lambart Productions,82.0
The Long Walk Home,PG,Drama,1990,"April 12, 1991 (Brazil)",7.3,3500.0,Richard Pearce,John Cork,Sissy Spacek,United States,,4873620.0,Dave Bell Associates,97.0
Mountains of the Moon,R,Adventure,1990,"February 23, 1990 (United States)",7.2,3500.0,Bob Rafelson,William Harrison,Patrick Bergin,United States,19000000.0,4011793.0,Carolco Pictures,136.0
Trust,R,Comedy,1990,"September 20, 1991 (United Kingdom)",7.4,9400.0,Hal Hartley,Hal Hartley,Adrienne Shelly,United Kingdom,700000.0,357400.0,Channel Four Films,107.0
An Angel at My Table,R,Biography,1990,"September 20, 1990 (Australia)",7.5,6900.0,Jane Campion,Janet Frame,Kerry Fox,New Zealand,,1055995.0,Hibiscus Films,158.0
Everybody's Fine,PG-13,Drama,1990,"May 31, 1991 (United States)",7.7,3700.0,Giuseppe Tornatore,Massimo De Rita,Marcello Mastroianni,Italy,,1745470.0,Erre Produzioni,118.0
My Father's Glory,G,Adventure,1990,August 1991 (United States),7.6,6200.0,Yves Robert,Louis Nucéra,Philippe Caubère,France,,1730856.0,Gaumont,105.0
A Tale of Springtime,PG,Comedy,1990,"April 4, 1990 (France)",7.2,4000.0,Éric Rohmer,Éric Rohmer,Anne Teyssèdre,France,,20554.0,Compagnie Eric Rohmer (CER),108.0
To Sleep with Anger,PG,Drama,1990,"October 12, 1990 (United States)",7.2,2200.0,Charles Burnett,Charles Burnett,Danny Glover,United States,,1161135.0,SVS Films,102.0
May Fools,R,Comedy,1990,July 1990 (United States),7.3,2900.0,Louis Malle,Louis Malle,Miou-Miou,France,,1576702.0,Nouvelles Éditions de Films (NEF),107.0
